epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.215,1.48164,2.63259,1.32942,0.59193,0.46737,0.53193,0.36265,1.18943,1.81921,1.16475,0.0668725,0.00016647,0.00016647
2,310.468,1.27184,1.80885,1.21787,0.70181,0.5017,0.60047,0.44696,0.95919,1.69227,1.06586,0.0336992,0.00032648,0.00032648
3,457.414,1.26843,1.58953,1.21427,0.71542,0.58592,0.65302,0.48537,1.03501,1.91226,1.05639,0.000519232,0.000479831,0.000479831
4,586.038,1.16669,1.3976,1.16272,0.76634,0.58767,0.67862,0.5162,0.8859,1.93834,1.01392,0.00047003,0.00047003,0.00047003
5,714.72,1.18161,1.2194,1.15512,0.76258,0.64165,0.70539,0.55375,0.88471,1.49778,1.02393,0.00046004,0.00046004,0.00046004
6,841.47,1.09037,1.20524,1.10254,0.87508,0.69199,0.75766,0.56949,0.88882,2.01917,1.04821,0.00045005,0.00045005,0.00045005
7,968.519,1.06068,1.08099,1.10319,0.83131,0.65849,0.75055,0.58103,0.90113,1.68956,1.0551,0.00044006,0.00044006,0.00044006
8,1096.47,1.04042,1.05468,1.10349,0.80396,0.63826,0.75569,0.57489,0.92336,1.71537,1.03347,0.00043007,0.00043007,0.00043007
9,1223.73,1.02874,1.01051,1.06895,0.90328,0.68272,0.7954,0.61554,0.83874,1.52173,1.01387,0.00042008,0.00042008,0.00042008
10,1349.68,0.9875,0.94712,1.04823,0.8727,0.67978,0.78394,0.62926,0.79797,1.18737,0.9852,0.00041009,0.00041009,0.00041009
11,1476.27,0.92698,0.91433,1.02812,0.74153,0.67344,0.71661,0.57983,0.74551,1.96792,0.96346,0.0004001,0.0004001,0.0004001
12,1604.28,0.93219,0.90774,1.03392,0.73495,0.74161,0.76494,0.60696,0.76844,1.78951,0.9499,0.00039011,0.00039011,0.00039011
13,1731.46,0.90453,0.85657,1.02879,0.74426,0.69776,0.74763,0.59598,0.80663,2.0146,0.97963,0.00038012,0.00038012,0.00038012
14,1857.45,0.89014,0.84428,1.01392,0.80978,0.72628,0.81061,0.67755,0.69978,1.85256,0.92937,0.00037013,0.00037013,0.00037013
15,1984.7,0.85563,0.80576,0.98982,0.85649,0.72555,0.80762,0.6412,0.7414,1.36466,0.94776,0.00036014,0.00036014,0.00036014
16,2111.87,0.83675,0.81464,0.99728,0.90449,0.75686,0.84676,0.69032,0.71368,1.20544,0.93335,0.00035015,0.00035015,0.00035015
17,2238.24,0.82052,0.74227,0.9776,0.8421,0.74512,0.81246,0.66622,0.72035,1.2806,0.94033,0.00034016,0.00034016,0.00034016
18,2364,0.82525,0.76366,0.97409,0.84759,0.77032,0.84475,0.68081,0.69356,1.77329,0.92761,0.00033017,0.00033017,0.00033017
19,2490.76,0.80608,0.73959,0.96376,0.90649,0.77791,0.8404,0.69538,0.68111,1.20159,0.9269,0.00032018,0.00032018,0.00032018
20,2617.81,0.78488,0.6859,0.96581,0.90397,0.74259,0.84447,0.68659,0.71616,1.21675,0.94558,0.00031019,0.00031019,0.00031019
21,2745.04,0.78496,0.69949,0.95279,0.9224,0.77037,0.84491,0.71457,0.63644,0.89068,0.9056,0.0003002,0.0003002,0.0003002
22,2871.81,0.7378,0.64243,0.93558,0.91538,0.7884,0.86329,0.71471,0.67628,0.8407,0.91298,0.00029021,0.00029021,0.00029021
23,2997.71,0.75549,0.68205,0.94515,0.81241,0.78386,0.83856,0.70134,0.6501,1.27012,0.9143,0.00028022,0.00028022,0.00028022
24,3123.75,0.75452,0.67199,0.94707,0.95587,0.77411,0.87593,0.74036,0.62964,0.83339,0.90284,0.00027023,0.00027023,0.00027023
25,3248.8,0.72589,0.62321,0.92446,0.92516,0.78848,0.86395,0.71985,0.68572,1.01542,0.92726,0.00026024,0.00026024,0.00026024
26,3395.03,0.72725,0.64416,0.93325,0.87552,0.77577,0.8395,0.70647,0.62975,1.03484,0.90024,0.00025025,0.00025025,0.00025025
27,3535.46,0.71401,0.59203,0.93352,0.93961,0.78047,0.8609,0.73035,0.62798,0.88829,0.89915,0.00024026,0.00024026,0.00024026
28,3661.33,0.68469,0.59306,0.91238,0.94112,0.79419,0.86007,0.72048,0.65081,0.9722,0.91589,0.00023027,0.00023027,0.00023027
29,3787.04,0.69578,0.60295,0.92911,0.87241,0.82681,0.85897,0.73101,0.61321,0.97955,0.90032,0.00022028,0.00022028,0.00022028
30,3912.66,0.67393,0.59348,0.92713,0.96007,0.80957,0.87653,0.73821,0.62208,0.74634,0.90367,0.00021029,0.00021029,0.00021029
31,4038.9,0.68188,0.55712,0.92699,0.93589,0.79405,0.8727,0.73072,0.6322,1.06462,0.9054,0.0002003,0.0002003,0.0002003
32,4163.47,0.6669,0.55056,0.90892,0.9497,0.79844,0.86839,0.73509,0.64761,0.9372,0.91439,0.00019031,0.00019031,0.00019031
33,4288.54,0.65973,0.5775,0.91071,0.93189,0.83122,0.88443,0.75253,0.61665,0.7757,0.90925,0.00018032,0.00018032,0.00018032
34,4414.66,0.64999,0.54286,0.90368,0.93306,0.79765,0.8682,0.74265,0.5851,0.91116,0.89437,0.00017033,0.00017033,0.00017033
35,4541.03,0.65183,0.54136,0.90804,0.93665,0.80445,0.8771,0.75293,0.59163,0.83558,0.90106,0.00016034,0.00016034,0.00016034
36,4665.39,0.62359,0.53203,0.88662,0.93296,0.81164,0.87285,0.74457,0.58401,0.9535,0.89744,0.00015035,0.00015035,0.00015035
37,4790.7,0.61563,0.52148,0.87799,0.92997,0.78857,0.87069,0.74869,0.57648,0.90318,0.891,0.00014036,0.00014036,0.00014036
38,4917.32,0.60896,0.51296,0.89045,0.90075,0.79136,0.86266,0.7422,0.58355,1.08948,0.8972,0.00013037,0.00013037,0.00013037
